"Date","Address","lat","lon","Killed","Injured","Content"
2014-02-16,"Lafayette Street and East Tillman Road, Fort Wayne, Indiana",41.0172956,-85.1191388,0,5,"<b>Date: </b>2014-02-16<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>Lafayette Street and East Tillman Road, Fort Wayne, Indiana"
2014-02-20,"300 W 1st St, Alturas, California",41.4839306,-120.5452439,4,2,"<b>Date: </b>2014-02-20<br/><b>Killed: </b>4<br/><b>Injured: </b>2<br/><b>Location: </b>300 W 1st St, Alturas, California"
2014-02-20,"3400 block of South Parker, Indianapolis, Indiana",39.7170243,-86.1139206,4,0,"<b>Date: </b>2014-02-20<br/><b>Killed: </b>4<br/><b>Injured: </b>0<br/><b>Location: </b>3400 block of South Parker, Indianapolis, Indiana"
2014-02-22,"1200 block of W Papeete St, Wilmington, California",33.7868812,-118.2778726,0,4,"<b>Date: </b>2014-02-22<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>1200 block of W Papeete St, Wilmington, California"
2014-02-25,"Graceland Lane, Glade Spring, Virginia",36.7843339,-81.7848237,5,1,"<b>Date: </b>2014-02-25<br/><b>Killed: </b>5<br/><b>Injured: </b>1<br/><b>Location: </b>Graceland Lane, Glade Spring, Virginia"
2014-03-01,"7800 Gratiot Av., Detroit, Michigan",42.3779841,-83.0147897,0,4,"<b>Date: </b>2014-03-01<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>7800 Gratiot Av., Detroit, Michigan"
2014-03-05,"Law Street, Pelzer, South Carolina",34.6393756,-82.4528394,3,2,"<b>Date: </b>2014-03-05<br/><b>Killed: </b>3<br/><b>Injured: </b>2<br/><b>Location: </b>Law Street, Pelzer, South Carolina"
2014-03-08,"4900 West Race Ave, Chicago, Illinois",41.890715,-87.748309,0,6,"<b>Date: </b>2014-03-08<br/><b>Killed: </b>0<br/><b>Injured: </b>6<br/><b>Location: </b>4900 West Race Ave, Chicago, Illinois"
2014-03-08,"1600 block of First Street, Richmond, California",37.956275,-122.368475,1,3,"<b>Date: </b>2014-03-08<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>1600 block of First Street, Richmond, California"
2014-03-09,"531 W State St, Fremont, Ohio",41.348378,-83.116532,3,1,"<b>Date: </b>2014-03-09<br/><b>Killed: </b>3<br/><b>Injured: </b>1<br/><b>Location: </b>531 W State St, Fremont, Ohio"
2014-03-16,"S 4th St, Beaumont, Texas",30.0588443,-94.1155643,3,1,"<b>Date: </b>2014-03-16<br/><b>Killed: </b>3<br/><b>Injured: </b>1<br/><b>Location: </b>S 4th St, Beaumont, Texas"
2014-03-16,"4960 Highway 80 West , Waynesboro, Georgia",33.209855,-81.8474274,0,4,"<b>Date: </b>2014-03-16<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>4960 Highway 80 West , Waynesboro, Georgia"
2014-03-21,"7550 Dorchester Road, North Charleston, South Carolina",32.9035257,-80.0785451,0,4,"<b>Date: </b>2014-03-21<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>7550 Dorchester Road, North Charleston, South Carolina"
